,longitude,latitude,lac_id,cell_id,timestamp,imsi
1432,122.88963319999999,41.51470947,16392,2287688,2018--10--03 03:27:23,460000095005561145
1436,122.89608759999999,41.51839828,16392,67169077,2018--10--03 17:31:37,460000095005561145
1433,122.89608759999999,41.51839828,16392,67169077,2018--10--03 17:32:49,460000095005561145
1435,122.89608759999999,41.51839828,16392,67169077,2018--10--03 17:33:19,460000095005561145
1434,122.89608759999999,41.51839828,16392,67169077,2018--10--03 17:48:57,460000095005561145
1437,122.88963319999999,41.51470947,16392,2287689,2018--10--03 18:08:35,460000095005561145
1438,122.88963319999999,41.51470947,16392,2287689,2018--10--03 18:08:35,460000095005561145
1471,122.8741531,41.50146866,16392,67167243,2018--10--03 18:14:59,460000095005561145
1439,122.88963319999999,41.51470947,16392,2287679,2018--10--03 18:16:37,460000095005561145
1440,122.88963319999999,41.51470947,16392,2287679,2018--10--03 18:17:53,460000095005561145
1465,122.90679170000001,41.52077866,16392,54556744,2018--10--03 18:36:47,460000095005561145
1446,122.8947372,41.51762009,16392,67281931,2018--10--03 19:12:00,460000095005561145
1441,122.8947372,41.51762009,16392,67281931,2018--10--03 19:15:08,460000095005561145
1450,122.8947372,41.51762009,16392,67281931,2018--10--03 19:39:38,460000095005561145
1445,122.8947372,41.51762009,16392,67281931,2018--10--03 19:39:56,460000095005561145
1442,122.8947372,41.51762009,16392,67281931,2018--10--03 19:50:58,460000095005561145
1447,122.8947372,41.51762009,16392,67281931,2018--10--03 19:54:07,460000095005561145
1443,122.8947372,41.51762009,16392,67281931,2018--10--03 20:10:29,460000095005561145
1448,122.8947372,41.51762009,16392,67281931,2018--10--03 20:11:58,460000095005561145
1444,122.8947372,41.51762009,16392,67281931,2018--10--03 20:31:51,460000095005561145
1452,122.8947372,41.51762009,16392,67281931,2018--10--03 20:39:23,460000095005561145
1462,122.89608759999999,41.51839828,16392,67169036,2018--10--03 20:40:36,460000095005561145
1461,122.89608759999999,41.51839828,16392,67169036,2018--10--03 20:42:06,460000095005561145
1449,122.8947372,41.51762009,16392,67281931,2018--10--03 21:03:06,460000095005561145
1451,122.8947372,41.51762009,16392,67281931,2018--10--03 21:05:08,460000095005561145
1463,122.89608759999999,41.51839828,16392,67169036,2018--10--03 21:24:10,460000095005561145
1466,123.2350616,41.76229858,16389,2571019,2018--10--03 22:01:30,460000095005561145
1464,123.30343629999999,41.77828979,16404,60139396,2018--10--03 22:08:55,460000095005561145
1467,123.40065,41.79916,16655,67684149,2018--10--03 22:24:09,460000095005561145
1453,123.41198729999999,41.8078804,16789,67569932,2018--10--03 22:48:45,460000095005561145
1456,123.41198729999999,41.8078804,16789,67569932,2018--10--03 22:58:45,460000095005561145
1457,123.41198729999999,41.8078804,16789,67569932,2018--10--03 22:58:59,460000095005561145
1455,123.41198729999999,41.8078804,16789,67569932,2018--10--03 23:07:30,460000095005561145
1454,123.41198729999999,41.8078804,16789,67569932,2018--10--03 23:31:26,460000095005561145
